ID,Flower_id,Ring,Observer,Recorder,Day,Comments
PB4306,93,NA,Sean,Fer,49,
PB0351,47,NA,Sean,Fer,49,
PB0391,3,78,Sean,Fer,49,
PA0998,11,37,Sean,Fer,49,
PB2595,66,NA,Sean,Fer,49,
PC2505,17,NA,Sean,Fer,49,
PB0022,44,9,Sean,Fer,49,
PB0022,29,9,Sean,Fer,49,
PB0132,64,28,Sean,Fer,49,
PB0459,49,31,Sean,Fer,49,
PB0392,26,NA,Sean,Fer,49,BROKEN BRANCH
PB0200,78,NA,Fer,Fer,47,
PC0080,78,,Sean,Agnese,53,
PB1834,39,73,Sean,Fer,49,"DEATH PLANT, COW EATEN"
PC0242,81,NA,Fer,Fer,47,
PB4298,81,NA,Fer,Fer,47,
PC2523,76,28,Agnese,Fer,51,
PC0104,51,65,Agnese,Fer,51,
PC2511,77,70,Agnese,Fer,51,
PC0080,45,90,Agnese,Fer,51,
PC0203,81,NA,Sean,Fer,49,
PC2504,10,53,Agnese,Fer,51,
PC0061,73,NA,Agnese,Fer,51,
PC0064,15,65,Agnese,Fer,51,
PA2495,30,,Sean,Agnese,53,
PB0311,81,,Sean,Agnese,53,
PA2485,72,67,Agnese,Fer,51,
PC0046,61,74,Agnese,Fer,51,
PB0200,96,53,Agnese,Fer,51,
PC0025,63,90,Agnese,Fer,51,
PB0224,14,NA,Agnese,Fer,51,
PC0003,97,NA,Agnese,Fer,51,
PB1821,1,NA,Agnese,Fer,51,
PC0190,82,7,Sean,Agnese,53,
PC0046,61,61,Sean,Fer,53,
PC2523,22,54,Sean,Agnese,53,
PC0841,42,16,Sean,Agnese,53,
PC0841,53,16,Sean,Agnese,53,
PC0845,23,65,Sean,Agnese,53,
PC0838,47,31,Sean,Agnese,53,"DESTROYED, REMOVED"
PC2505,54,57,Sean,Agnese,53,
PC2505,32,,Sean,Agnese,53,
PC2505,63,,Sean,Agnese,53,
PC0294,57,,Sean,Agnese,53,
PC0294,21,30,Sean,Agnese,53,
PB0351,83,NA,Sean,Fer,48,
PC0211,83,NA,Agnese,Fer,51,
PB4296,39,51,Sean,Agnese,53,
PB4296,20,51,Sean,Agnese,53,
PC0110,60,37,Sean,Agnese,53,
PC1922,4,57,Sean,Agnese,53,
PC0080,83,,Sean,Agnese,53,
PC0230,85,NA,Fer,Fer,47,
PC1923,99,75,Sean,Agnese,53,
PB0136,91,,Sean,Agnese,53,MISSING COORDINATES
PB3356,61,39,Sean,Agnese,53,
PB3356,11,39,Sean,Agnese,53,
PC2504,94,89,Sean,Agnese,53,
PC2504,12,89,Sean,Agnese,53,
PC0061,33,,Sean,Agnese,53,
PB0132,59,,Sean,Agnese,53,
PB0132,49,,Sean,Agnese,53,
PC0064,17,36,Sean,Agnese,53,
PB0381,84,NA,Agnese,Fer,51,
PB0193,15,,Sean,Agnese,53,
PB0196,64,,Sean,Agnese,53,
PC0035,45,,Sean,Agnese,53,
PC0035,26,,Sean,Agnese,53,
PA2417,84,,Sean,Agnese,53,
PC0042,29,42,Sean,Agnese,53,
PA0341,34,,Sean,Agnese,53,
PA0341,75,,Sean,Agnese,53,
PB0193,85,3,Agnese,Fer,51,
PB0279,36,,Sean,Agnese,53,
PC0003,2,,Sean,Agnese,53,
PC0271,25,,Sean,Agnese,53,
PB0427,52,,Sean,Agnese,53,
PB0427,46,8,Sean,Agnese,53,
PB0427,5,8,Sean,Agnese,53,
PB0408,51,72,Sean,Agnese,53,
PB1821,85,2,Sean,Agnese,53,
PB0392,19,26,Sean,Agnese,53,
PB2502,71,,Sean,Agnese,53,
PB2502,65,,Sean,Agnese,53,
PB0458,35,,Sean,Agnese,53,
PB0458,93,72,Sean,Agnese,53,
PB0458,6,81,Sean,Agnese,53,
PB0458,41,81,Sean,Agnese,53,
PB1834,86,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB0526,62,,Sean,Agnese,53,"EATEN BY COW, REMOVED"
PB0484,87,,Sean,Agnese,53,
PB1834,31,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB1834,67,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB1834,97,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB1834,7,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB1834,40,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB1834,14,,Sean,Agnese,53,"DEATH PLANT, COW EATEN"
PB3408,99,47,Sean,Agnese,53,
PB0738,30,,Sean,Agnese,53,
PB0738,16,,Sean,Agnese,53,
PB0738,9,,Sean,Agnese,53,
PB0738,37,,Sean,Agnese,53,
PC0276,95,14,Sean,Agnese,53,
PC1906,74,,Sean,Agnese,53,
PC1906,77,,Sean,Agnese,53,
PC1906,24,,Sean,Agnese,53,
PB0311,13,,Sean,Agnese,53,
PB0435,88,NA,Fer,Fer,47,
PB0337,56,,Sean,Agnese,53,
PB0337,1,81,Sean,Agnese,53,
PB0484,70,16,Sean,Agnese,53,
PC0002,88,76,Sean,Agnese,53,"STEM SNAP, REMOVE"
PC0250,89,9,Fer,Fer,47,
PB4713,96,,Sean,Agnese,53,
PB0279,89,NA,Fer,Fer,47,
PB0498,76,,Sean,Agnese,53,
PC0143,89,86,Sean,Agnese,53,
PC1925,72,21,Sean,Agnese,53,
PB0345,73,42,Sean,Agnese,53,
PC0230,98,NA,Fer,Fer,47,
PB0351,100,,Sean,Agnese,53,
PB0526,98,NA,Sean,Fer,49,"EATEN BY COW, REMOVED"
PB2880,79,,Sean,Agnese,53,
PB0381,44,,Sean,Agnese,53,
PC0140,55,,Sean,Agnese,53,
PC0140,50,76,Sean,Agnese,53,
PC0156,92,,Sean,Agnese,53,
PC0156,69,,Sean,Agnese,53,
PA2417,60,,Sean,Agnese,53,
PB4713,98,,Sean,Agnese,53,
PB0385,13,NA,Agnese,Fer,51,EATEN
PC0271,31,NA,Sean,Fer,48,
PC0244,100,NA,Fer,Fer,49,missing check
PC0230,45,NA,Fer,Fer,47,REMOVED?
PC0224,86,NA,Fer,Fer,47,missing check
PB0424,11,,,,48,missing check
